stationName,Address,City,State,charger_type,stationModel,StationNetworkStatus,LastPortStatus,faultReason,StatusTimestamp,hours_unreachable,snapshot_utc
NYC FLEET / DPRMBLOT8-S3,Father Capodanno Blvd,Midland Beach,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T01:46:27Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRSBLOT4-S2,405 Father Capodanno Blvd,South Beach,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2022-07-18T20:16:25Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRMBLOT7-S2,829 Father Capodanno Blvd,Midland Beach,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T13:27:04Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRSBLOT4-S1,405 Father Capodanno Blvd,South Beach,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:44:42Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_HYLANBLVD-1,6581 Hylan Blvd,Staten Island,New York,Level 2,CPF50-L18,Unreachable,UNKNOWN,NONE,2025-11-05T12:41:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_930ZEREGA_1,930 Zerega Ave,East Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2024-01-24T13:35:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPROLMSTED#2A-B,117-2 Roosevelt Ave,Corona,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:25:52Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRQNSMSEUM#1#2,Avenue of the States,Corona,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T16:08:04Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM4A-B,19600 Union Tpke,Fresh Meadows,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:19:44Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_Q14-2,51-10 Almeda Ave,Far Rockaway,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T12:32:16Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_ALLIED-S#14,13 East Rd,Corona,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-10-29T20:04:23Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DDC_LIC-S2,30-20 Thomson Ave,Long Island City,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-07-13T05:00:45Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DDC_LIC-S1,30-20 Thomson Ave,LIC,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-07-20T11:31:27Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD72PCT-1,830 4th Ave,Greenwood,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:04:03Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRLYONSPL1A-B,15 Murray Hulbert Ave,Staten Island,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2024-03-22T16:44:54Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR5BOROBB1A-B,20R Bronx Shore Rd,New York,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T12:12:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK17-1,10502 Avenue D,Brooklyn,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-05-05T17:46:45Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WARDSTLR-1,143 A Rd Transportation Trailer,New York,New York,Level 2,CPF25,Unreachable,UNKNOWN,NONE,2025-10-29T16:43:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRFTTOTTEN2A-B,638 Bayside St BLDG #637,Bayside,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T12:02:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPDOWNSVILLE_4,20 New York City Highway 30A,Downsville,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-09-14T11:19:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPDOWNSVILLE_3,20 New York City Highway 30A,Downsville,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-09-14T11:19:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WS465COLU2,465 Columbus Ave,Valhalla,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:11:01Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_GRAHMSVLLE2,7858 NY-42,Grahamsville,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-08T03:10:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPDOWNSVILLE_1,20 New York City Highway 30A,Downsville,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-09-14T11:19:11Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPDOWNSVILLE_2,40 New York City Highway 30A,Downsville,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-09-14T11:19:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_CRSSRIVER-2,241 Cross River Rd,Katonah,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T01:53:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_KINGSTON-2,91 Smith Ave,Kingston,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:49:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCONFHSE1A-B,298 Satterlee St,Tottenville,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T03:03:32Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#2,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#5,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#4,East Dr,New York,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-09-19T00:01:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#6,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#7,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#8,East Dr,New York,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2023-07-16T00:05:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL-8,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRQNSSHOPS2A-B,8298 88th Pl,Flushing,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-22T16:07:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#13,East Dr,New York,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2023-11-07T18:33:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WARDTRLR116,116 4th Dr,New York,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-02T09:01:38Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPROCEANBR#1A-B,631-643 Father Capodanno Blvd,South Beach,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T11:54:06Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRBXFORST#5A-B,1831 Unionport Rd,East Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T16:43:16Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPROLMBRADDICK1,8 Olmsted Dr,Corona,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2025-01-28T13:40:34Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#3,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRARSENAL#1,East Dr,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-09-18T23:54:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_LFRK117+118,58-17 Junction Blvd,Flushing,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:27:01Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA_MBMO_1,1980 Lexington Ave,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T10:08:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-3,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2019-03-19T12:59:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-4,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:21:31Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-2,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:45:15Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-1,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:46:19Z,0.0,2025-11-05T17:32:49Z
