stationName,Address,City,State,Charger type,stationModel,unreachable_event_count,status,last_unreachable_start_iso,current_first_unreachable_iso,last_seen_reachable_iso
NYC FLEET / DOT_SPARE,32 Old Slip,New York,New York,Gateway (Not a Charger),CPGW,0,REACHABLE,,,2026-02-12T20:37:30.230297+00:00
NYC FLEET / DOT_SPARE-1,32 Old Slip,New York,New York,Level 2,CPF25,1,UNREACHABLE,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00
NYC FLEET / DOT_SPARE-2,32 Old Slip,New York,New York,Level 2,CPF25,1,UNREACHABLE,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00
NYC FLEET / DOT_SPARE-3,42 South St,New York,New York,Level 2,CPF25,1,UNREACHABLE,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00,2025-10-17T12:36:37+00:00
NYC FLEET / DOTMASPETHQNS,58-50 57th Rd,Maspeth,New York,Gateway (Not a Charger),CPGW,0,REACHABLE,,,2026-02-12T20:37:30.230297+00:00
NYC FLEET / DOTMASPETHQNS-1,58-50 57th Rd,Maspeth,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:30:14+00:00
NYC FLEET / DOTMASPETHQNS-2,58-50 57th R,Maspeth,New York,Level 2,CPF50,1,UNREACHABLE,2026-01-27T17:45:54+00:00,2026-01-27T17:45:54+00:00,2026-01-27T17:45:54+00:00
NYC FLEET / DEPJAMAICA_4_L3,150-20 134th Street,Queens,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:28:00+00:00
NYC FLEET / DOT_FTTOTTEN,423 Abbott Rd,Bayside,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:34:52+00:00
NYC FLEET / OCME_26ST_S1_L3,421 E 26th St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:27:03+00:00
NYC FLEET / DPR_ICAHN1,Rivers Edge Rd,New York,New York,Level 2,CT4020-HD2-GW-LTE,0,REACHABLE,,,2026-02-12T20:31:47+00:00
NYC FLEET / DPR_ICAHN3,Rivers Edge Rd,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:26:33+00:00
NYC FLEET / NYPDHQ_1PP_7_L3,1 Police Plaza,New York,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:31:55+00:00
NYC FLEET / NYPDHQ_1PP_8_L3,1 Police Plaza,New York,New York,Level 3,CPE250C-500-CCS1-CHD,1,UNREACHABLE,2026-02-12T13:38:13+00:00,2026-02-12T13:38:13+00:00,2026-02-11T20:28:36+00:00
NYC FLEET / NYPDHQ_1PP_9_L3,1 Police Plaza,New York,New York,Level 3,CPE250C-500-CCS1-CHD,1,UNREACHABLE,2024-12-12T23:24:37+00:00,2024-12-12T23:24:37+00:00,2024-12-12T23:24:37+00:00
NYC FLEET / DSNY_CBS-2,10601 Ave D,Canarsie,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:02+00:00
NYC FLEET / DOC_SLRCANOPYG1,11-15 Hazen St,East Elmhurst,New York,Gateway (Not a Charger),CPGW,0,REACHABLE,,,2026-02-12T20:37:30.230297+00:00
NYC FLEET / DOC_SLRCANOPY1,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DOC_SLRCANOPY2,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DOC_SLRCANOPY3,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DOC_SLRCANOPY4,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DOC_SLRCANOPY5,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DOC_SLRCANOPY6,11-15 Hazen St,East Elmhurst,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:53+00:00
NYC FLEET / DSNY_QBSROOF-3,52-07 58th St,Queens,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:38+00:00
NYC FLEET / DPR_ALLIED5,15 East Rd,Corona,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-09T14:26:58+00:00,,2026-02-12T20:35:15+00:00
NYC FLEET / DSNY_Q03-1,52-35 58th St,Woodside,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T13:37:54+00:00
NYC FLEET / DPR_QBSTWTRAIL1,1001 Queens Plaza S,LIC,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-08T20:05:43+00:00,,2026-02-12T20:19:26+00:00
NYC FLEET / DPR_SUNSETPARK1,4119 7th Ave,Brooklyn,New York,Level 2,CPF50-L18,0,REACHABLE,,,2026-02-12T20:33:36+00:00
NYC FLEET / DPR_QBLIC#9&10,1001 Queens Plaza S,LIC,New York,Level 2,CT4020-HD-GW,2,UNREACHABLE,2026-02-12T15:39:36+00:00,2026-02-12T15:39:36+00:00,2026-02-11T20:20:56+00:00
NYC FLEET / DPR_QBLIC_7&8,1001 Queens Plaza S,LIC,New York,Level 2,CT4020-HD-GW,1,UNREACHABLE,2026-02-12T13:30:55+00:00,2026-02-12T13:30:55+00:00,2026-02-11T20:20:57+00:00
NYC FLEET / DPR_QBLIC_5&6,1001 Queens Plaza S,LIC,New York,Level 2,CT4020-HD2-GW-LTE,1,UNREACHABLE,2026-02-02T23:17:45+00:00,2026-02-02T23:17:45+00:00,2026-02-02T23:17:45+00:00
NYC FLEET / DPR_ARSENAL_GW3,"East Drive 830 5th Ave, New York 10065 Map coordinates: https://maps.app.goo.gl/NGfvuDtqWWAhmFB77",New York,New York,Gateway (Not a Charger),CPGW-NA-LTE-M,0,REACHABLE,,,2026-02-12T20:37:30.230297+00:00
NYC FLEET / DPR_ARSENAL18,East Dr,New York,New York,Level 2,CPF50,1,REACHABLE,2026-02-08T15:15:42+00:00,,2026-02-12T20:34:10+00:00
NYC FLEET / DPR_ARSENAL19,East Dr,New York,New York,Level 2,CPF50-L18,1,UNREACHABLE,2025-11-25T13:47:25+00:00,2025-11-25T13:47:25+00:00,2025-11-25T13:47:25+00:00
NYC FLEET / DPR_ROYWILKINS1,177-01 Baisley Blvd,Jamaica,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:33:02+00:00
NYC FLEET / DOT_VERNONYRD-1,4200 Vernon Blvd,LIC,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:29:13+00:00
NYC FLEET / DPR_ROYWILKINS2,177-01 Baisley Blvd,Jamaica,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:27:31+00:00
NYC FLEET / DPR_RIHORT#1,111 Sunken Garden Loop,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:32:55+00:00
NYC FLEET / DPR_RIHORT#2,111 Sunken Garden Loop,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:32:55+00:00
NYC FLEET / DPR_RIHORT#3,111 Sunken Garden Loop,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:32:55+00:00
NYC FLEET / DPR_RIOPS#1,111 Sunken Garden Loop,New York,New York,Level 2,CPF50,0,REACHABLE,,,2026-02-12T20:31:49+00:00
NYC FLEET / DPR_RICWTURF#1,111 Sunken Garden Loop,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:31:49+00:00
