stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,hours_unreachable,_loaded_at_utc
NYC FLEET / DSNY_MBS-DCFC3,640 W 26th St,New York,New York,10001,40.75131882451064,-74.0071739067459,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:27:12Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC1,640 W 26th St,New York,New York,10001,40.75133,-74.00719,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Occupied,1,0,1,0,2025-11-19T10:30:01Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC2,640 W 26th St,New York,New York,10001,40.75133203190695,-74.00720810491084,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:26:08Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC7,640 W 26th St,New York,New York,10001,40.75132796809297,-74.00720072883605,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:23:35Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC5,640 W 26th St,New York,New York,10001,40.75133457179057,-74.007234927001,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2025-11-19T10:26:15Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_VCP-S4,David Sheridan Plaza,The Bronx,New York,10471,40.90469797488802,-73.89649329629516,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-07T03:48:17Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOT_FRYTRM_4_L3,1 Bay St,Staten Island,New York,10301,40.64416297729946,-74.07231228172303,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:25:37Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOT_FRYMT_1_L3,1 Bay St,Staten Island,New York,10306,40.64175328267335,-74.07332079231263,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:57Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_VCP-S3,6477 US-9,The Bronx,New York,10471,40.9044466,-73.8966435,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-18T13:51:30Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_SI1A-S2,3 Muldoon Ave,Staten Island,New York,10314,40.57530076451297,-74.19651037976227,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-16T15:27:22Z,0.0,2025-11-19T10:31:52.196106+00:00
